continent,location,date,total_cases,new_cases,total_deaths,new_deaths,population,mortality_rate,deaths_per_million,new_deaths_7d
Europe,France,2020-01-05,0.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-01-06,0.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-01-07,0.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-01-08,0.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-01-09,0.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-01-10,0.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-01-11,0.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-01-12,0.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-01-13,0.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-01-14,0.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-01-15,0.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-01-16,0.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-01-17,0.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-01-18,0.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-01-19,0.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-01-20,0.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-01-21,0.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-01-22,0.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-01-23,0.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-01-24,0.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-01-25,0.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-01-26,3.0,3.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-01-27,3.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-01-28,3.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-01-29,3.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-01-30,3.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-01-31,3.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-02-01,3.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-02-02,6.0,3.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-02-03,6.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-02-04,6.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-02-05,6.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-02-06,6.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-02-07,6.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-02-08,6.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-02-09,12.0,6.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-02-10,12.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-02-11,12.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
Europe,France,2020-02-12,12.0,0.0,0.0,0.0,67813000,0.0,0.0,0.0
